id,salary_from,salary_to,area,experience,employment,schedule,work_format,professional_role,is_premium,has_test,accept_temporary,is_gross,has_usd_in_description,published_at,description,name,salary_mid,role
132031395,700000.0,1200000.0,Алматы,between1And3,full,fullDay,"['ON_SITE', 'HYBRID']",['Дата-сайентист'],False,False,False,False,False,2026-04-10 16:02:39+03:00,"Мы разрабатываем и развиваем продукт в сфере умного дома и безопасности. Проходим путь от разработки hardware решений до написание своих software решений. На данный момент усиляем команду в направлении сomputer vision: определение событий и контекста в видео потоке и отправка триггера на интерфейс. Обязанности:  Разработка и внедрение моделей компьютерного зрения для анализа видеопотока Распознавание действий (action recognition) и сценариев поведения Определение контекста происходящего (аномалии, нарушения, события) Работа с потоковым видео (RTSP, камеры видеонаблюдения) Оптимизация моделей под реальные условия (задержки, слабое железо, нестабильный свет) Интеграция моделей в production (API, edge-устройства, серверы заказчика) Разметка и подготовка датасетов совместно с командой Повышение точности и снижение ложных срабатываний  Требования:  Знание Python Опыт с библиотеками: OpenCV, PyTorch / TensorFlow Понимание архитектур CV: CNN, Transformers, 3D CNN, LSTM Опыт в задачах: Object Detection, Action Recognition, Video Classification Работа с видеопотоками и real-time обработкой Оптимизация моделей (TensorRT, ONNX, quantization) [Будет плюсом] Понимание метрик качества (precision, recall, F1-score) Опыт работы с YOLO / Detectron / MMDetection Опыт внедрения на edge-устройствах [Будет плюсом] Навыки MLOps (деплой, мониторинг моделей) [Будет плюсом] Опыт в проектах видеонаблюдения или безопасности [Будет плюсом]  Условия:  Гибридный формат работы Гибкий график Возможность влиять на архитектурные решения и развитие продукта ",ML Engineer / CV Engineer,950000.0,Дата-сайентист
130648164,400000.0,800000.0,Астана,between1And3,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-03-20 15:49:17+03:00,"Обязанности: • Разработка и улучшение NLP/LLM решений (RAG, поиск, суммаризация, извлечение данных)• Реализация агентных сценариев на LangGraph и MCP• Создание продакшн-API на FastAPI• Оптимизация скорости и стоимости инференса Требования: • Уверенный Python• RAG-архитектуры, LangGraph, векторные БД• Интеграция LLM, промптинг• ML-сервинг (vLLM, LoRA, квантизация)• FastAPI (async)• MCP-серверы и tool-архитектуры Условия: Официальное оформление по ТК РК;Своевременная и стабильная выплата зарплаты;Работа в надёжной и развивающихся компании- лидер отросли;Комфортные условия труда и профессиональный коллектив;Перспективы карьерного и профессионального роста.  ",ML Engineer (NLP / RAG),600000.0,Дата-сайентист
131993829,1892520.0,2838780.0,Астана,moreThan6,full,remote,['REMOTE'],['Дата-сайентист'],False,False,False,True,False,2026-04-12 15:02:32+03:00,"NLP Engineer (ML-инженер) в проект ""Чат-бот"" О проекте: Мы создаем умного чат-бота на базе LLM-модели, который станет незаменимым инструментом для ответов на вопросы пользователей.Ваша задача — разработать и внедрить чат-бота в различные окружения: отдельное приложение, бот для Telegram и функционал для существующего сайта с особым режимом запросов. Обязанности:  Разработка и оптимизация LLM-моделей для чат-бота; Настройка и доработка моделей с использованием Fine-Tuning, LangChain, LoRa, RAG;  Обучение и дообучение моделей с использованием SFT (Supervised Fine-Tuning) и RL-подходов (например RLHF / GRPO / GSPO);   Работа с данными и окружением для обеспечения корректной работы чат-бота;   Проведение A/B-тестирования для оценки качества моделей и продуктовых гипотез;   Постоянное улучшение и обновление функционала чат-бота на основе обратной связи пользователей;   Требования:   Глубокие знания и практический опыт работы с LLM-моделями;   Опыт работы с векторными бд;   Опыт обучения моделей с использованием SFT и RL-подходов;   Опыт работы с MLOps-инфраструктурой критически важен, тк ожидается множество экспериментов: деплой моделей, мониторинг, управление экспериментами, CI/CD для ML;   Опыт работы с мультимодальными моделями (текст, изображения, возможно аудио/видео) будет преимуществом;   Способность работать с большими объемами данных и обеспечивать их корректную обработку;  Английский язык В1-С1, команда билингва.  Условия и преимущества:  Полная занятость с возможностью удаленной работы. Участие в инновационном проекте с перспективой профессионального роста. Конкурентоспособная заработная плата и гибкий график работы. Детальнее после отклика.  О компании: Мы — западная веб-компания, разрабатывающая собственный тематический мессенджер с развитой клиентской базой. Наша цель — объединить всех пользователей наших продуктов в единый центр коммуникации. В наших быстро развивающихся проектах участвуют специалисты из таких компаний, как Lamoda, Facebook, СберБанк, Keenetic, Магнит, Яндекс, Лига Ставок, МТС Инвестиции, Javarush, Rabota.ru, Ivi, Positive Technologies.Если у вас есть опыт, потенциал и характер, чтобы присоединиться к нам, мы будем рады видеть вас в нашей команде!","NLP Engineer (ML-Engineer) в проект ""Чат-бот""",2365650.0,Дата-сайентист
131901669,,,Алматы,between3And6,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-04-07 10:18:52+03:00,"Verigram is an international AI company focused on digital identity and fraud prevention. Our solutions are used by banks, fintechs, and online platforms to onboard users remotely and prevent fraud. And now we are looking for an ML Engineer who can take models from research → production → scale. This role is perfect if you love building LLM systems, computer vision pipelines and high-load AI services used by thousands of real users.   We build production-ready AI systems that process large-scale data every day: - Face biometrics and liveness detection - Document verification and KYC/AML - Real-time video analytics - LLM assistants and RAG systems - High-load ML services used by thousands of users   What you will do: LLM / Generative AI - Fine-tune open-source LLMs (LoRA / PEFT) - Build and scale production RAG systems - Develop embedding and vector search pipelines - Build AI assistants and internal AI tools - Prompt engineering and evaluation pipelines - Run A/B testing and LLM experiments - Optimize inference (latency / throughput / GPU) Data & ML Pipelines - Build ETL/ELT pipelines for ML - Data validation and dataset versioning - Automate model training and retraining - Experiment tracking and quality metrics ML Infrastructure & Production - Develop ML services using FastAPI - Containerize and deploy models - Optimize GPU inference and performance - Build batch and real-time inference pipelines Monitor models: - data/model drift - quality degradation - latency and reliability Engineering culture: - Participate in architecture decisions - Code reviews and documentation - Contribute to ML engineering best practices Tech stack: Python • PyTorch • FastAPI • PostgreSQL • Redis • Kafka • DockerLangChain • LangGraph • RAG • Vector Search • GPU inference   Requirements: Must-have - 2–4 years of experience in ML / DL / NLP - Experience shipping ML models to production - Strong Python skills (backend + ML) - Hands-on experience with PyTorch - Understanding of the full ML lifecycle Nice to have: - Experience with LLMs / RAG / embeddings - Inference optimization experience - Experience building high-load services   What we offer: - Real production ML & LLM projects - Access to GPU infrastructure - Strong impact on AI product architecture - Competitive salary - Strong engineering culture, low bureaucracy Join us to build real-world AI products!",Middle ML engineer,,Дата-сайентист
132087900,,,Алматы,between1And3,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-04-13 15:44:55+03:00,"Мы Kaspi.kz - крупнейшая технологическая компания в Казахстане, миссия которой - улучшать людям жизнь. Ежемесячно нашим супер приложением пользуются более 14 млн казахстанцев. Сейчас мы рассматриваем кандидатов на роль Middle / Senior NLP Engineer.Работа полностью из офиса в городе Алматы, формата удалёнки и гибрида - нет. Основные направления, которые мы развиваем:  Модерация контента/ отзывов/объявлений; Обогащение контента Магазина; Авто подбор HR; Анализ отзывов; Автоматизация классификации обращений; Виртуальный консультант.  Основные задачи ML engineer:  Подготовка данных для обучения модели; Эксперименты и обучения моделей; Выкатка модели в продакшн (в большинстве случае в виде сервиса); Анализ отработки модели, ее улучшений; Настройка системы мониторинга качества модели.  Смело откликайся на вакансию, если уже погружался в NLP ML и подошел хотя бы по 3 параметрам:  Есть опыт разработки и запуска в production на трансформерных (BERT, Sentence-BERT, T5) или традиционных архитектурах (fasttext, word2vec); Уверенно пишешь SQL (если работал в SAS Enterprise Guide вольёшься в поток еще быстрее); Был опыт настройки CI\CD пайплайнов для ML моделей в среде GitLab, Docker, Kubernetes; Делал продуктовую аналитику (преимущество для телефонных переговоров операторов и голосовых ассистентов); Умеешь проводить A/B тесты;  Мы предлагаем:  Развитие и карьерный рост- грейдинг+ адаптация; Офис в центре города; Обучение, тренинги и курсы за счет компании; Бесплатный тренажерный зал в офисе и доп скидки на абонементы в другие залы; Электронная библиотека - Kaspi Books и доступное приложение к нему; Премия в виде оклада по результатам работы; Клубы по интересам (настолки, киберспорт); Лояльные предложения для сотрудников (автокредит). ",Middle / Senior NLP Engineer,,Дата-сайентист
131990623,,,Алматы,between3And6,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-04-09 13:56:56+03:00,"Обязанности:  Обучать ML модели; Тестировать модели и подготовить сетап для деплоя в прод; Участие в развитии КХД; Выполнять аналитические задачи; Заниматься процессами в формате end-to-end; Выведение отчетности в виде дэшбордов; Интерпретация бизнес решений и результатов ML моделей.  Требования:  Высшее техническое образование; Опыт работы в Machine Learning от 3-х лет; Уверенное знание Python (pandas, numpy, scikit-learn); Опыт построения моделей прогнозирования временных рядов (Prophet, ARIMA, LightGBM, CatBoost или аналоги); Владение инструментами SQL, MS office; Аналитика данных, интерпретация результатов.  Условия:  Ежеквартальные премии; Корпоративные предложения по фитнесу; Корпоративные скидки на онлайн обучение в Skyeng для вас и ваших близких; Бесплатная подписка на онлайн библиотеку «Alpina Digital»; Приятная рабочая атмосфера в современном офисе в деловой части города; Возможность строить карьеру в одном из крупнейших банков Казахстана. ",ML-инженер/Data Scientist,,Дата-сайентист
131765894,1200000.0,,Алматы,between3And6,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-04-02 08:55:12+03:00,"Международная компания MINISO Kazakhstan приглашает кандидатов на позицию ML-инженера для запуска AI-направления, разработки моделей машинного обучения и внедрения систем прогнозирования и рекомендаций для повышения эффективности бизнес-процессов компании. Обязанности:  Разработка и обучение моделей машинного обучения; Построение системы рекомендаций по заказу товаров для категорийных менеджеров; Работа с данными из 1С совместно с Data Engineer: очистка данных, feature engineering, валидация; Оценка точности моделей (MAE, RMSE, MAPE) и их улучшение; Поддержка моделей в продакшене, мониторинг деградации; Подключение маркетинговой аналитики: анализ эффективности акций, сегментация.  Обязательные требования:  Опыт работы в Machine Learning от 2 лет; Уверенное знание Python (pandas, numpy, scikit-learn); Опыт построения моделей прогнозирования временных рядов (Prophet, ARIMA, LightGBM, CatBoost или аналоги); Понимание метрик качества регрессионных моделей (MAE, RMSE, MAPE); Опыт работы с SQL, самостоятельная выгрузка и трансформация данных; Умение объяснять результаты модели нетехническим коллегам.  Будет плюсом:  Опыт в ритейле, FMCG или логистике; Знакомство с 1С или опыт работы с ERP-данными; Опыт деплоя моделей (Docker, REST API, Airflow); Знание MLflow, DVC или аналогов для управления экспериментами.  Условия:  Конкурентная заработная плата; Участие в запуске AI-направления в компании; Работа с реальными бизнес-задачами и данными; Возможности профессионального роста и развития. ",ML-инженер / Machine Learning Engineer,1200000.0,Дата-сайентист
132091336,,,Алматы,moreThan6,full,fullDay,"['ON_SITE', 'HYBRID']",['Дата-сайентист'],False,False,False,False,False,2026-04-13 16:50:56+03:00,"Hamkorbank — один из крупнейших банков Узбекистана. В 2025 году мы запустили масштабную программу развития data-платформы: строим современный DWH с нуля, самостоятельно выбирая архитектуру и инструменты. Никакого legacy — только осознанные технические решения. Сейчас ищем Senior Data Engineer в команду Greenplum. Это критически важная роль: вам предстоит построить DDS-слой (детальное доменное хранилище) — фундамент всей аналитической платформы банка.   Что вы будете делать  • Проектировать и разрабатывать DDS-слой в Greenplum: доменные сущности (Клиент, Счёт и другие), связи, правила загрузки и историчность данных • Настраивать и оптимизировать распределение данных по сегментам, управлять resource groups под разные типы нагрузки • Обеспечивать надёжную загрузку данных из Kafka (CDC через Debezium) и batch-источников • Описывать трансформации через dbt, поддерживать DAG-оркестрацию в Apache Airflow • Мониторить и поддерживать работу платформы совместно с командой инженеров • Взаимодействовать с аналитиками-инженерами, которые строят витрины поверх GP ━━━ Наш стек ━━━ Хранилище: Greenplum (основной), ClickHouse (вспомогательный) Трансформации: dbt Оркестрация: Apache Airflow Потоки / CDC: Apache Kafka + Debezium Метаданные и качество: OpenMetadata BI: Apache Superset, Power BI В планах: Spark, MinIO / S3, ML-сервер (JupyterLab + mlflow), Vector DB Что мы ищем • Опыт коммерческой разработки в Greenplum: дистрибуция таблиц, сегменты, resource groups / queues — обязательно • Понимание MPP-архитектуры: distribution keys, skew, AO vs heap таблицы, partitioning • Опыт проектирования детального слоя DWH: 3NF, Data Vault или аналоги; знание SCD-типов • Практический опыт с dbt: модели, материализации (table / incremental / view), ref(), тесты • Опыт работы с потоковыми данными: Kafka, CDC, паттерны загрузки delta-данных • Знание Apache Airflow: DAG-и, зависимости, мониторинг • Уверенный SQL: оконные функции, планы выполнения, оптимизация запросов Будет плюсом: опыт в банковской или финтех-сфере; знание OpenMetadata или аналогов (DataHub, Amundsen)   Что мы предлагаем • Работу над современным data-стеком, который строится с нуля — без переделки legacy • Сильную команду: тех-лид GP, архитектор, CDO из инженерии • Технический рост: в планах векторные БД, агентные сценарии, ML-платформа • Достойный доход: Мы ценим опыт экспертов и предлагаем условия, конкурирующие с финтех-компаниями • Локация и формат: Работа в офисе в Ташкенте или гибрид — мы создаем условия для продуктивности, а не для контроля присутствия.К отклику приложите, пожалуйста, краткие ответы: ​​​​​​​С каким стеком технологий Вы ранее работали?Был ли у Вас опыт коммерческой разработки в Greenplum? Готовы ли Вы к релокации в Ташкент?",Senior Data Engineer (Greenplum),,Дата-сайентист
131352021,,,Алматы,between3And6,full,fullDay,['ON_SITE'],"['Программист, разработчик']",False,False,False,False,False,2026-03-18 16:09:35+03:00,"Обязанности:  Разработка микросервисов на Python 3.11 и выше. Работа с готовыми LLM и обучение существующих. Построение и поддержка потоков данных с использованием Kafka. Работа с реляционными и аналитическими базами данных: PostgreSQL, ClickHouse. Настройка и поддержка ETL процессов с использованием Airflow. Оптимизация производительности приложений и запросов. Внедрение и поддержка REST API с использованием FastAPI.  Требования:  4+ года опыта разработки на Python. Умение писать асинхронный код. Опыт обучения моделей (Llama, Bert, Qwen, etc.) Взаимодействие с LLM по API (Llama, Chat GPT, etc.) Опыт работы с FastAPI, Kafka, PostgreSQL, ClickHouse, Airflow. Глубокое понимание обработки больших данных и построения масштабируемых backend-решений. Отличные знания SQL и опыт оптимизации запросов.  Опционально:  Опыт работы с BI-инструментами (предпочтительно Superset). Знания в области оркестрации контейнеров (например, Kubernetes). Знания CI/CD для деплоя backend приложений.  Условия:  Стандартный офисный график, без удаленного формата работы;  Работа по оформлению согласно ТК РК; Медицинская страховка; График 5/2, отсутствие дресс-кода, плавающее начало рабочего дня; Обучение за счет компании; Настольный теннис, PS5, теплая атмосфера, крутая команда, помощь и поддержка коллег; Комфортный офис в верхней части города. ",Python Backend Developer / Python Data Engineer / Python ML Engineer,,"Программист, разработчик"
131325886,,,Астана,between3And6,full,fullDay,['ON_SITE'],"['Программист, разработчик']",False,False,False,False,False,2026-03-18 08:57:45+03:00,"Уважаемые соискатели, мы не рассматриваем гибридный или онлайн формат работы - работа в офисеОбязанности:  Взаимодействие с клиентами: участие во встречах, формализация задач, подготовка документации и презентаций решений Работа с данными: анализ клиентских данных, фиче-инжиниринг, подготовка датасетов; проектирование и оптимизация SQL/NoSQL-баз для AI-продуктов Разработка моделей: обучение и дообучение моделей (NLP, CV, рекомендательные системы, предиктивная аналитика), fine-tuning и transfer learning, разработка методик оценки качества NLP и LLM: адаптация моделей (BERT, GPT, T5 и др.), работа с Hugging Face, Transformers и RAG-пайплайнами, настройка векторных БД, применение prompt engineering Интеграция и инфраструктура: создание API (REST, GraphQL, WebSocket), интеграция моделей в backend, настройка CI/CD, работа с Docker, Kubernetes, MLflow Эксплуатация и поддержка: внедрение моделей в продуктивную среду, мониторинг и observability, A/B-тестирование, переобучение, сопровождение и оптимизация сервисов  Требования:  Опыт: 3+ лет в области Computer Vision, Deep Learning или ML-разработки Языки и библиотеки: Python (pandas, NumPy, scikit-learn, TensorFlow/PyTorch, Hugging Face), продвинутый SQL; приветствуется знание C++/C#/Java/Go ML/DL компетенции: понимание основ ML (валидация, метрики, loss-функции, переобучение), опыт fine-tuning и transfer learning, работа с большими датасетами NLP/LLM: опыт работы с трансформерами, токенизацией, эмбеддингами, Hugging Face Trainer API, интеграция LLM в прикладные задачи Инфраструктура и backend: опыт с Flask/FastAPI, микросервисной архитектурой (REST, gRPC, Kafka, RabbitMQ), CI/CD (GitHub Actions, GitLab CI/CD, Jenkins), контейнеризацией (Docker, Kubernetes) Базы данных: уверенное владение SQL и NoSQL (PostgreSQL, MySQL, MongoDB, Redis, ClickHouse), понимание потоковой обработки MLOps: навыки мониторинга ML-систем, знание основ observability и практик MLOps, опыт эксплуатации ML-систем end-to-end Soft skills: инженерное мышление, способность писать чистый код, коммуникабельность, умение презентовать результаты бизнесу, командная работа, ответственность и готовность к обучению новым технологиям    Условия:  5-дневная рабочая неделя с 9.00 до 18.00 оформление в соответствии с ТК оплачиваемые больничные и отпуска премии по результатам работы повышение квалификации, сертификация заработная плата: по результатам собеседования тимбилдинг ",AI разработчик,,"Программист, разработчик"
