id,salary_from,salary_to,area,experience,employment,schedule,work_format,professional_role,is_premium,has_test,accept_temporary,is_gross,has_usd_in_description,published_at,description,name
132031395,700000.0,1200000.0,Алматы,between1And3,full,fullDay,"['ON_SITE', 'HYBRID']",['Дата-сайентист'],False,False,False,False,False,2026-04-10 16:02:39+03:00,"Мы разрабатываем и развиваем продукт в сфере умного дома и безопасности. Проходим путь от разработки hardware решений до написание своих software решений. На данный момент усиляем команду в направлении сomputer vision: определение событий и контекста в видео потоке и отправка триггера на интерфейс. Обязанности:  Разработка и внедрение моделей компьютерного зрения для анализа видеопотока Распознавание действий (action recognition) и сценариев поведения Определение контекста происходящего (аномалии, нарушения, события) Работа с потоковым видео (RTSP, камеры видеонаблюдения) Оптимизация моделей под реальные условия (задержки, слабое железо, нестабильный свет) Интеграция моделей в production (API, edge-устройства, серверы заказчика) Разметка и подготовка датасетов совместно с командой Повышение точности и снижение ложных срабатываний  Требования:  Знание Python Опыт с библиотеками: OpenCV, PyTorch / TensorFlow Понимание архитектур CV: CNN, Transformers, 3D CNN, LSTM Опыт в задачах: Object Detection, Action Recognition, Video Classification Работа с видеопотоками и real-time обработкой Оптимизация моделей (TensorRT, ONNX, quantization) [Будет плюсом] Понимание метрик качества (precision, recall, F1-score) Опыт работы с YOLO / Detectron / MMDetection Опыт внедрения на edge-устройствах [Будет плюсом] Навыки MLOps (деплой, мониторинг моделей) [Будет плюсом] Опыт в проектах видеонаблюдения или безопасности [Будет плюсом]  Условия:  Гибридный формат работы Гибкий график Возможность влиять на архитектурные решения и развитие продукта ",ML Engineer / CV Engineer
131823118,9462.6,,Астана,between1And3,full,remote,['REMOTE'],['Специалист технической поддержки'],False,False,True,False,True,2026-04-03 15:03:43+03:00,"Привет! Мы, ""Aspirity Solution"", студия разработки, которая уже 10 лет создает веб и мобильные приложения, ноу-код решения и ИИ-агентов для самых разных клиентов. Сейчас мы в поиске Customer Support Engineer в команду нашего партнера. Обязанности:  L3 поддержка (Intercom, Jira, email, телефон) Обработка критических инцидентов (P1) по SLA Дежурства (смены, выходные, праздники) Работа с тикетами баги → разработка фичи → продукт внедрение → implementation Эскалация проблем в разработку Взаимодействие с партнёрами (Acronis, IONOS, Nextiva) Поддержка документации и runbook’ов  Требования:  3+ года в техподдержке / support engineering Intercom или аналоги (Zendesk, Freshdesk) API дебаг: Postman, curl, DevTools Английский B2–C1 Готовность к дежурствам Опыт с B2B клиентами Самостоятельная работа  Плюсом:  Jira VoIP (SIP, WebRTC) AI/ML или чат-боты QA опыт Лидерство / менторинг Знание нескольких иностранных языков  Формат: удаленка, гибкий график, оплата в долларах",Customer Support Engineer
130648164,400000.0,800000.0,Астана,between1And3,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-03-20 15:49:17+03:00,"Обязанности: • Разработка и улучшение NLP/LLM решений (RAG, поиск, суммаризация, извлечение данных)• Реализация агентных сценариев на LangGraph и MCP• Создание продакшн-API на FastAPI• Оптимизация скорости и стоимости инференса Требования: • Уверенный Python• RAG-архитектуры, LangGraph, векторные БД• Интеграция LLM, промптинг• ML-сервинг (vLLM, LoRA, квантизация)• FastAPI (async)• MCP-серверы и tool-архитектуры Условия: Официальное оформление по ТК РК;Своевременная и стабильная выплата зарплаты;Работа в надёжной и развивающихся компании- лидер отросли;Комфортные условия труда и профессиональный коллектив;Перспективы карьерного и профессионального роста.  ",ML Engineer (NLP / RAG)
131765894,1200000.0,,Алматы,between3And6,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-04-02 08:55:12+03:00,"Международная компания MINISO Kazakhstan приглашает кандидатов на позицию ML-инженера для запуска AI-направления, разработки моделей машинного обучения и внедрения систем прогнозирования и рекомендаций для повышения эффективности бизнес-процессов компании. Обязанности:  Разработка и обучение моделей машинного обучения; Построение системы рекомендаций по заказу товаров для категорийных менеджеров; Работа с данными из 1С совместно с Data Engineer: очистка данных, feature engineering, валидация; Оценка точности моделей (MAE, RMSE, MAPE) и их улучшение; Поддержка моделей в продакшене, мониторинг деградации; Подключение маркетинговой аналитики: анализ эффективности акций, сегментация.  Обязательные требования:  Опыт работы в Machine Learning от 2 лет; Уверенное знание Python (pandas, numpy, scikit-learn); Опыт построения моделей прогнозирования временных рядов (Prophet, ARIMA, LightGBM, CatBoost или аналоги); Понимание метрик качества регрессионных моделей (MAE, RMSE, MAPE); Опыт работы с SQL, самостоятельная выгрузка и трансформация данных; Умение объяснять результаты модели нетехническим коллегам.  Будет плюсом:  Опыт в ритейле, FMCG или логистике; Знакомство с 1С или опыт работы с ERP-данными; Опыт деплоя моделей (Docker, REST API, Airflow); Знание MLflow, DVC или аналогов для управления экспериментами.  Условия:  Конкурентная заработная плата; Участие в запуске AI-направления в компании; Работа с реальными бизнес-задачами и данными; Возможности профессионального роста и развития. ",ML-инженер / Machine Learning Engineer
131993829,1892520.0,2838780.0,Астана,moreThan6,full,remote,['REMOTE'],['Дата-сайентист'],False,False,False,True,False,2026-04-09 15:02:32+03:00,"NLP Engineer (ML-инженер) в проект ""Чат-бот"" О проекте: Мы создаем умного чат-бота на базе LLM-модели, который станет незаменимым инструментом для ответов на вопросы пользователей.Ваша задача — разработать и внедрить чат-бота в различные окружения: отдельное приложение, бот для Telegram и функционал для существующего сайта с особым режимом запросов. Обязанности:  Разработка и оптимизация LLM-моделей для чат-бота; Настройка и доработка моделей с использованием Fine-Tuning, LangChain, LoRa, RAG;  Обучение и дообучение моделей с использованием SFT (Supervised Fine-Tuning) и RL-подходов (например RLHF / GRPO / GSPO);   Работа с данными и окружением для обеспечения корректной работы чат-бота;   Проведение A/B-тестирования для оценки качества моделей и продуктовых гипотез;   Постоянное улучшение и обновление функционала чат-бота на основе обратной связи пользователей;   Требования:   Глубокие знания и практический опыт работы с LLM-моделями;   Опыт работы с векторными бд;   Опыт обучения моделей с использованием SFT и RL-подходов;   Опыт работы с MLOps-инфраструктурой критически важен, тк ожидается множество экспериментов: деплой моделей, мониторинг, управление экспериментами, CI/CD для ML;   Опыт работы с мультимодальными моделями (текст, изображения, возможно аудио/видео) будет преимуществом;   Способность работать с большими объемами данных и обеспечивать их корректную обработку;  Английский язык В1-С1, команда билингва.  Условия и преимущества:  Полная занятость с возможностью удаленной работы. Участие в инновационном проекте с перспективой профессионального роста. Конкурентоспособная заработная плата и гибкий график работы. Детальнее после отклика.  О компании: Мы — западная веб-компания, разрабатывающая собственный тематический мессенджер с развитой клиентской базой. Наша цель — объединить всех пользователей наших продуктов в единый центр коммуникации. В наших быстро развивающихся проектах участвуют специалисты из таких компаний, как Lamoda, Facebook, СберБанк, Keenetic, Магнит, Яндекс, Лига Ставок, МТС Инвестиции, Javarush, Rabota.ru, Ivi, Positive Technologies.Если у вас есть опыт, потенциал и характер, чтобы присоединиться к нам, мы будем рады видеть вас в нашей команде!","NLP Engineer (ML-Engineer) в проект ""Чат-бот"""
131398360,454204.8,794858.4,Астана,between3And6,part,remote,['REMOTE'],['Инженер ПНР'],False,False,True,True,True,2026-03-19 22:06:21+03:00,"Вопросы по Telegram зарплата: 960$ - 1680$ Об Академии Цифровых Индустрий  ADI основанная в 2018 году, является прогрессивной образовательной платформой, построенной вокруг концепции практических образовательных курсов, воркшопов, и мастер-классов. Более чем 30 000 выпускников Академии по всему миру образуют мощное и влиятельное сообщество выдающихся умов. Каждый из этих цифровых экспертов вдохновляет и побуждает других бросать вызов трудностям и создавать позитивные изменения в их повседневной работе. В конце 2023 года ADI объединилась с Tether для запуска инициативы Tether.Edu. Объединив наше видение и стратегию, мы одна из лучших образовательных технологических платформ в мире. Это сотрудничество знаменует значимый этапа как для ADI, так и для Tether, компании, управляющей первой и самой широко используемой стабильной монетой, USDt. Наш индивидуальный и всеобъемлющий подход к образованию стирает границы между дисциплинами и помогает развивать прогрессивное мышление. Наш уникальный образовательный подход сочетается с интенсивными воркшопами, с участием экспертов, с практическим опытом в ведущих брендах, продуктах и организациях, меняющих правила игры по всему миру.   Описание должности Мы ищем практикующего AI-инженера, который сможет вести студентов через реальные AI-проекты от базовых концепций до прикладных ML, NLP, CV и LLM-решений. Ментор отвечает за формирование практических навыков, разработку pet-product и успешную сдачу итоговой оценки компетенций.   Ключевые обязанности    Проведение онлайн-занятий по программе AI Engineering   При отсутствии программы - разработка учебного плана на 6 месяцев   Обучение AI/ML через практику и проекты   Сопровождение кейсов ML / NLP / CV / LLM   Индивидуальное тестирование после каждого блока обучения   Проверка кода, заданий и Capstone-проектов   Менторская поддержка и участие в Demo Day   Подготовка студентов к финальной оценке компетенций     Требования   Опыт работы в AI / ML / Data Science от 3 лет   Python (NumPy, Pandas, PyTorch и/или TensorFlow)   Машинное обучение   NLP и LLM   Computer Vision   Опыт участия в реальных AI-проектах   Для преподавания и общения со студентами требуется владение английским и русским языками   Способность проводить онлайн-занятия и давать обратную связь на обоих языках   Опыт fine-tuning LLM и advanced prompt engineering   Реализация AI-проектов end-to-end   Менторство junior-специалистов   Практикующий AI-инженер с опытом работы над реальными ML, NLP, CV или LLM проектами, готовый делиться знаниями   Ментор, способный направлять студентов для достижения практических результатов и выполнения целей курса   Профессионал, ориентированный на прикладное обучение и развитие компетенций   Человек, ответственный за контроль прогресса студентов и успешное выполнение заданий, проектов и итоговой оценки компетенций     Нам не подойдёт, если вы   Теоретик без практики в AI   Преподаватель без реальных проектов     Мы ищем AI-инженера и ментора, ориентированного на прикладной результат и рост студентов.",AI-инженерия
131449167,600000.0,800000.0,Астана,between3And6,full,fullDay,['ON_SITE'],['Дата-сайентист'],False,False,False,False,False,2026-03-23 09:27:37+03:00,"## Middle ML Engineer We are looking for a Middle ML Engineer to help us build and improve machine learning features in our products. The role includes working with data, training and testing models, improving dataset quality, and integrating ML solutions into backend services. ### Responsibilities: * Work on ML tasks for internal products and business use cases* Train, test, and improve machine learning models* Work with multilingual transformer models for NLP tasks* Collect, prepare, clean, and improve datasets* Apply regression models and other classical ML approaches where needed* Support integration of ML logic into Python backend services* Develop and maintain ML-related APIs using FastAPI* Work with REST APIs and WebSocket connections* Collaborate with backend developers and product team members ### Requirements: * Experience in Applied AI* Good Python skills* Experience with multilingual transformers* Experience in dataset collection, cleaning, and data preparation* Experience with regression models* Experience with FastAPI* Understanding of REST APIs* Experience working with WebSockets* Ability to work with real-world data and practical ML tasks ### Nice to Have: * Experience with LangChain or LangGraph* Experience with agent-based systems* Familiarity with LLM-based applications* Basic experience with databases such as PostgreSQL",Middle ML Engineer
131662056,2838780.0,3785040.0,Алматы,moreThan6,full,fullDay,['HYBRID'],['Дата-сайентист'],False,True,False,True,False,2026-04-11 12:39:21+03:00,"Position: GenAI Engineer (LLMs · RAG · ML Systems)Level: SeniorExperience: 8+ years (NOT freelancing)Location: Almaty, hybridEmployment: FulltimeLanguages: English B2+, Russian C1   КОГО ИЩЕМ:   AI / ML Engineer / Data Scientist с опытом разработки и развития AI-агентов. Только fulltime без совмещения с другими проектами. Только в гибридном формате в г. Алматы.  Со знанием разговорного английского языка.    МЫ ОЖИДАЕМ:  Опыт работы от 6 лет над production ML-системами. Опыт от 3 лет разработки AI-агентов и создания конвейеров RAG. Опыт работы с LLM: подсказки / инструменты, дизайн поиска, оценка LLM; практический опыт анализа временных рядов (прогнозирование, точки изменения, дрейф). Опыт работы от 2 лет с Self-Supervised / Weakly-Supervised Learning. Опыт работы от 2 лет с мультимодальными pipelines (текст + голос + скриншоты). Опыт работы от 9 месяцев с Google ADK. Опыт работы от 9 месяцев с Vertex AI RAG Engine. Опыт работы от 1 года с Amazon SageMaker. Опыт работы от 1 года с NVIDIA Triton Inference Server. Опыт работы от 2 лет с графическими процессорами и ускорителями. Опыт работы с Python в production от 8 лет. РАЗГОВОРНЫЙ английский язык на уровне B2+ (команда англоязычная).    ОНОВНАЯ ЗАДАЧА:  Создание и развитие AI-агентов, которые в режиме реального времени прослушивают звонки и чаты, извлекают информацию из баз знаний клиентов и составляют черновики ответов с возможностью контроля со стороны человека.    МЫ ПРЕДЛАГАЕМ:    Конкурентоспособную заработную плату. Только гибридный формат работы в г. Алматы (2 дня работы в офисе). Гибкий график работы, иногда вечерние созвоны. Работа в продуктовой компании.  ",GenAI Engineer (LLMs · RAG · ML Systems)
131106651,950000.0,1550000.0,Алматы,between3And6,full,fullDay,['HYBRID'],"['Программист, разработчик']",False,False,False,False,False,2026-03-30 17:38:19+03:00,"Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz — помогают людям и бизнесам продавать, покупать и владеть авто, недвижимостью, товарами и услугами. Культура экспериментов, командный дух, технологии, постоянное развитие и желание достичь крутых результатов — отличительные черты Kolesa Team. О вакансии: Мы ищем backend-разработчика в команду Core Team. Команда занимается внутренними сервисами, общими для всех продуктов Kolesa Group: авторизация, платежи, хранение и раздача файлов, обработка фотографий, инфраструктурные утилиты и многое другое. Тебе предстоит:   Разрабатывать и развивать ключевые межпродуктовые сервисы Kolesa Group: сервис единой авторизации, платежный шлюз, объектное хранилище, фотостек (resizer, preresizer, CDN), системы внутренней телефонии, интеграция с внешними сервисами (SMS, email, push-уведомления и т.д.), интеграция с государственными сервисами (smartbridge).   Повышать надёжность, производительность и масштабируемость систем — от проектирования архитектуры до сопровождения в продакшене;   Работать в тесной связке с другими командами: продуктовые команды, ML-инженеры, системные администраторы, hr, бухгалтера;   Участвовать в техническом дизайне, планировании задач, ревью кода и CI/CD процессах;   Поддерживать devops-культуру: автоматизация, мониторинг, логирование, алерты — это всё про нас;   Писать качественный, протестированный код и не бояться отвечать за него на проде.   Мы ждем от тебя:   Знакомство с базами данных, понимание принципов их работы. Мы используем Mysql, Mongodb, Redis, Elasticsearch, Clickhouse, Scylladb (cassandra)   Понимание инфраструктуры и окружения, в котором выполняется код: Linux, Docker, Nginx, Kubernetes, Аnsible, Opensips, Аsterisk;   Владение инструментами мониторинга для поиска, решения и предотвращения проблем;   Умение и желание писать тесты на свой код;   Владение git, понимание процессов сборки и деплоя. Мы используем Github Enterprise;   Умение давать оценку сроков выполнения задач и соблюдать их, вовремя сигнализировать о проблемах;   Бескомпромиссный подход к решению проблем и устранению их причин;   Будет преимуществом:   Опыт работы с Kubernetes, Asterisk, PHP;   Понимание микросервисной архитектуры, подходов к межсервисному взаимодействию;   Опыт проектирования и реализации высоконагруженных сервисов.   Что приятного предлагаем:   Гибридный формат: офлайн в офисе в г. Алматы с возможностью работы из дома;   Работу в сильной команде, где ценятся взаимопомощь и ориентация на результат;   Постоянный рост: система грейдирования, индивидуальные планы развития, менторство;   Тематические мероприятия: квизы, киновечера, Family Day, тимбилдинги;   Медицинскую страховку, оплату авиабилетов, фитнеса, образования и многое другое — твой выбор, куда использовать соцпакет;   Обучение: мы оплачиваем участие в конференциях, тренингах, мастер-классах;   Корпоративные скидки и огромная онлайн-библиотека;   Программа релокации для иногородних сотрудников.   #referral",Middle GO Backend-разработчик Core team
131317501,1400000.0,2900000.0,Астана,moreThan6,full,fullDay,['HYBRID'],['Руководитель отдела аналитики'],False,False,False,True,False,2026-03-17 18:37:11+03:00,"Мы - команда Data Hunters!Специализируемся на проведении исследований: рынков, потребителей, конкурентов, продуктовые исследования, ценовые мониторинги.В портфеле наших клиентов больше 300 компаний из Казахстана, стран СНГ и дальнего зарубежья. Такие как: HeadHunter, Indriver, Магнум, KFC и многие другие ТОПы своего рынка.В нашу команду ищем руководителя отдела исследований - сильного и энергичного управленца, который обеспечит организацию и контроль исполнения любого проекта. Обязанности:  Координация найма и адаптации ключевых сотрудников отдела исследования Координация руководителей и команды в проектах Утверждение технических заданий на команду проекта Развитие продукта Развитие отношений с клиентами Контроль качества наших исследовательских отчетов и стандартов компании Координация работы с внешними подрядчиками Оптимизация затрат и расходных статей, аналитика по выполненным проектам Создание и обновление регламентов и инструкций для команды Отчетность  Требования:    Опыт в работе на руководящей позиции в агентствах не менее 6 лет   Опыт руководства и управления коллективом   Развитые коммуникативные и переговорные навыки   Понимание устройства и принципов работы потребительских и промышленных рынков  Умение работать с первичными и вторичными источниками данных, владение инструментарием сбора данных (количественный / качественный, OSint и тд)  Высшее базовое образование в любом из следующих направлений: экономика, математика, маркетинг, социология, менеджмент  Наличие дополнительного образования: управление проектами, бизнес-анализ, рыночные исследования, потребительские исследования  Важно: Опыт координации и управления проектамиОпыт работы в национальных / государственных компанияхПонимание инвестиционного циклаЖелательно:Владение английским языком на уровне В2 Условия:  Фиксированная заработная плата + % от успешно выполненных проектов согласно условиям KPI Испытательный срок 3 месяца + обучение нашим стандартам и регламентам Великолепный коллектив и интересные исследовательские проекты в разных индустриях Регулярное обучение по профессии и доступ к базе литературы / книгам / образовательным курсам Оформление по ТК РК, отчисления, белая зарплата Возможность работы удаленно  Дальнейшие действия: Начните пожалуйста ваш отклик или письмо со слов «Здравствуйте. Я готов выполнить тестовое задание». Так мы поймем что вы действительно внимательный человек и c вами свяжется наш HR-специалист.  ",Руководитель (директор) отдела исследований
